title,age_min,age_max,duration_mins,tags,cost,indoor_outdoor,season,materials_needed,how_to_play,players,parent_caution
Animal Walk,2,4,15,"exercise, fun",free,both,all,[],"['Choose an animal like a snake, frog, horse, or bear and show children how it moves.', 'Encourage them to copy the movements, adding their own sounds and gestures.', 'Take turns picking new animals to mimic so everyone gets involved.', 'Keep the area clear of obstacles so kids can move freely and safely.']",1+,no
Keep the Balloon Up,2,4,10,"exercise, coordination",low,both,all,"[""balloons"", ""pool noodle (optional)"", ""various balls of different sizes""]","['Inflate a balloon and clear a space where it can be batted around.', 'Have children use their hands or a pool noodle to tap the balloon into the air.', 'Challenge them to keep the balloon from touching the ground for as long as they can.', 'Introduce variations like using different sized balls or switching hitting hands.']",1+,yes
Color Sorting,2,4,10,"learning, fine motor",low,indoor,all,"[""cardboard box"", ""colored balls or toys"", ""colored markers"", ""colored objects"", ""matching areas"", ""various balls of different sizes""]","['Cut several holes in a cardboard box and color the edges with markers to create matching stations.', 'Gather small balls or toys in matching colors and demonstrate dropping them through the right hole.', 'Encourage children to name each color as they sort and race against a timer for fun.', 'Try sorting by size or shape for an extra challenge once they master colors.']",1+,yes
Wet Sponge Designs,2,4,20,"sensory, art",low,outdoor,summer,"[""brushes"", ""paint"", ""paper or surface"", ""pavement or wall"", ""sponges"", ""water""]","['Fill a bucket or basin with water and soak soft sponges.', 'Let children toss the wet sponges against a fence, wall, or sidewalk to make splash patterns.', 'Encourage them to create shapes, letters, or simple pictures with their throws.', 'When finished, gather the sponges, squeeze out excess water, and dry them for next time.']",2+,yes
Digging for Treasure,2,4,20,"sensory, fun",low,both,all,"[""cardboard box"", ""colored balls or toys"", ""colored markers"", ""sand or sandbox"", ""shovel"", ""small toys""]","['While children look away, bury small toys or coins in a sandbox or bin of sand.', 'Give each child a small shovel or cup and set them loose to find the hidden treasures.', 'Celebrate each discovery and have children count or trade their finds.', 'After the game, let the kids take turns hiding the items for another round.']",1+,yes
Run Away From the Monster,2,4,15,"exercise, fun",free,both,all,[],"['Pick an adult or older child to pretend to be a playful monster.', 'Mark boundaries for the safe play area so everyone knows where to run.', 'The monster chases the children using silly sounds and movements until tagging someone.', 'Whoever gets tagged becomes the new monster for the next round.']",3+,yes
Simon Says,2,4,10,"exercise, listening",free,both,all,[],"[""Choose one player to be 'Simon' who will give instructions to the group."", ""'Simon' begins each command with the phrase 'Simon says…' for players to follow."", ""If 'Simon' gives a command without saying 'Simon says', players should ignore it or perform a silly forfeit if they do it by mistake."", ""Rotate the role of 'Simon' so everyone gets a chance to lead.""]",1+,no
Leaf Play,2,4,15,"sensory, nature",free,outdoor,autumn,"[""leaf piles"", ""rake""]","['Rake leaves into large piles in the yard or park.', 'Invite children to jump into the piles, toss leaves in the air, and crunch them underfoot.', 'Talk about the different colors and sounds of the leaves as they play.', 'Once playtime is over, help gather the scattered leaves into bags or compost.']",2+,yes
Hopscotch,2,4,15,"exercise, coordination",free,both,all,"[""chalk"", ""masking tape or painter's tape"", ""small stones or buttons""]","['Draw a hopscotch grid on pavement with chalk or use masking tape indoors.', 'Number each square and give players a small stone or beanbag to toss onto the board.', 'Show how to hop on one foot in single squares and on two feet in side‑by‑side squares while avoiding the one with the marker.', 'Players retrieve the marker on their way back; the first to complete all numbers wins.']",1+,no
Sensory Bins,2,4,20,"sensory, development",low,indoor,all,"[""cups"", ""large bucket"", ""sand or sandbox"", ""shovel"", ""small bucket"", ""small toys""]","['Fill several bins with different materials such as rice, dried beans, water, sand, or pom‑poms.', 'Add scoops, cups, funnels, and small toys for scooping and pouring.', 'Let children explore each bin, describing how the materials feel and sound.', 'Rotate through the bins and encourage gentle play to keep the area tidy.']",1+,yes
