title,age_min,age_max,duration_mins,tags,cost,indoor_outdoor,season,materials_needed,how_to_play,players,parent_caution
Rainbow Pasta Necklace,3,8,45,"craft, fine motor, colorful",low,indoor,all,"[""pasta with holes"", ""food coloring"", ""vinegar"", ""string"", ""bowl""]","['Dye pasta by mixing with food coloring and vinegar.', 'Spread on paper towels to dry overnight.', 'Thread colorful pasta onto string.', 'Tie ends together to wear.']",1+,yes
Backyard Miniature Golf,7,16,120,"outdoor, creative, competitive",low,outdoor,all,"[""household items"", ""pool noodles"", ""cups"", ""golf ball"", ""putter""]","['Design holes using cups laid sideways.', 'Create obstacles with books, ramps, tunnels.', 'Number each hole and keep score.', 'Play full 9-hole course.']",2+,no
DIY Glitter Jars Calm,5,13,45,"craft, calming, sensory",low,indoor,all,"[""jar with lid"", ""water"", ""glitter"", ""glue"", ""food coloring""]","['Fill jar with water and glitter glue.', 'Add loose glitter and food coloring.', 'Seal lid tightly with glue gun.', 'Shake and watch glitter settle slowly.']",1+,yes
Indoor Obstacle Course Ninja,7,15,60,"active, challenging, creative",low,indoor,all,"[""pillows"", ""tape"", ""string"", ""furniture""]","['Create ninja warrior style course.', 'Include balance beams, laser maze with string.', 'Time runs through challenging course.', 'Modify difficulty as needed.']",2+,yes
Homemade Focaccia Bread,9,99,120,"culinary, baking, Italian",low,indoor,all,"[""flour"", ""yeast"", ""olive oil"", ""rosemary"", ""salt""]","['Mix dough and let rise twice.', 'Press into oiled pan.', 'Dimple surface and add toppings.', 'Bake until golden and fragrant.']",1+,yes
Nature Leaf Printing,5,12,45,"art, nature, seasonal",free,outdoor,autumn,"[""leaves"", ""paint"", ""paper"", ""brayer or roller""]","['Paint one side of fresh leaf.', 'Press painted side firmly onto paper.', 'Carefully peel away leaf.', 'Repeat with different leaves and colors.']",1+,yes
Paper Bag Houses Village,5,12,90,"craft, imaginative, building",low,indoor,all,"[""paper bags"", ""scissors"", ""markers"", ""tape""]","['Cut doors and windows in bags.', 'Decorate as different building types.', 'Arrange bags into neighborhood.', 'Play with toy figures in village.']",1+,no
DIY Lava Lamp Permanent,8,15,90,"science, decorative, visual",medium,indoor,all,"[""clear bottle"", ""water"", ""oil"", ""food coloring"", ""alka-seltzer""]","['Fill bottle with water and oil.', 'Add food coloring to water layer.', 'Drop in alka-seltzer tablet pieces.', 'Watch bubbles rise continuously.']",1+,yes
Backyard Water Balloon Baseball,7,15,60,"outdoor, active, summer",low,outdoor,summer,"[""water balloons"", ""plastic bat"", ""bases""]","['Set up baseball diamond with bases.', 'Pitch water balloons to batter.', 'Hit balloon and run bases.', 'Balloon breaks create splash effect.']",6+,yes
Homemade Fruit Kabobs,5,99,30,"culinary, healthy, creative",low,indoor,all,"[""variety of fruits"", ""wooden skewers"", ""cutting board""]","['Cut fruits into bite-sized pieces.', 'Thread onto skewers in patterns.', 'Create colorful arrangements.', 'Serve as healthy snack.']",1+,yes
Indoor Tape Maze Floor,5,12,60,"creative, active, problem-solving",low,indoor,all,"[""masking tape"", ""small toys or balls""]","['Create maze pattern on floor with tape.', 'Make dead ends and challenges.', 'Navigate through maze without stepping on lines.', 'Time runs or race against others.']",1+,no
Nature Bark Rubbing Art,4,10,30,"art, nature, texture",free,outdoor,all,"[""paper"", ""crayons with paper removed""]","['Find trees with interesting bark.', 'Hold paper against trunk.', 'Rub crayon sideways over paper.', 'Collect rubbings from different trees.']",1+,no
Paper Plate Pizza Craft,3,8,30,"craft, food, imaginative",low,indoor,all,"[""paper plate"", ""red and yellow paint"", ""construction paper"", ""glue""]","['Paint plate red as sauce.', 'Add yellow circles as cheese.', 'Cut paper toppings like pepperoni.', 'Glue toppings on pizza.']",1+,no
DIY Marble Run Wall,8,16,180,"engineering, creative, challenging",medium,indoor,all,"[""cardboard tubes"", ""tape"", ""marbles"", ""wall space"", ""scissors""]","['Cut tubes at various angles.', 'Tape to wall creating continuous path.', 'Test marble flow and adjust.', 'Add ramps and features.']",1+,yes
Backyard Capture the Flag,8,16,60,"outdoor, teamwork, strategy",low,outdoor,all,"[""flags or bandanas"", ""cones for boundaries""]","['Divide into two teams with territories.', 'Each team hides flag in their area.', 'Try to capture opponents flag without getting tagged.', 'First team to capture wins.']",8+,yes
Homemade Smoothie Pops Layered,6,99,45,"culinary, healthy, colorful",low,indoor,summer,"[""different colored fruits"", ""yogurt"", ""popsicle molds"", ""blender""]","['Blend different fruit colors separately.', 'Pour first layer and freeze 30 minutes.', 'Add next layer and repeat.', 'Create rainbow popsicles.']",1+,no
Indoor Scavenger Hunt Riddles,7,14,60,"game, problem-solving, literacy",free,indoor,all,"[""paper"", ""pen"", ""prize""]","['Write clever riddles about household items.', 'Each riddle leads to next clue location.', 'Final riddle reveals treasure spot.', 'Adjust difficulty for age.']",1+,no
Nature Pine Cone Bird Feeders,5,12,45,"nature, craft, kindness",low,outdoor,all,"[""pine cones"", ""peanut butter"", ""birdseed"", ""string""]","['Tie string around pine cone.', 'Spread peanut butter in crevices.', 'Roll in birdseed to coat.', 'Hang from tree branch.']",1+,yes
Paper Collage Self Portrait,7,14,90,"art, creative, self-expression",low,indoor,all,"[""magazines"", ""scissors"", ""glue"", ""large paper"", ""mirror""]","['Look at self in mirror.', 'Cut images and colors representing yourself.', 'Arrange pieces into self-portrait.', 'Glue down finished portrait.']",1+,yes
DIY Bookmark Corner Monsters,6,13,45,"craft, functional, cute",low,indoor,all,"[""paper"", ""scissors"", ""markers"", ""googly eyes"", ""glue""]","['Fold paper into triangle corner pocket.', 'Decorate as monster with eyes and teeth.', 'Add features with markers.', 'Slip on book page corner.']",1+,no
Backyard Olympics Opening Ceremony,7,16,90,"outdoor, creative, celebration",low,outdoor,all,"[""flags"", ""medals"", ""torch (fake)"", ""music""]","['Create opening ceremony with parade.', 'Make flags representing teams.', 'Light ceremonial torch safely.', 'Begin games with fanfare.']",4+,yes
Homemade Apple Cider Hot,8,99,60,"culinary, seasonal, warming",low,indoor,autumn,"[""apple juice"", ""cinnamon sticks"", ""cloves"", ""orange"", ""pot""]","['Combine juice with spices in pot.', 'Simmer gently for 30 minutes.', 'Strain spices before serving.', 'Serve warm in mugs.']",1+,yes
Indoor Balloon Volleyball Tournament,6,14,60,"game, active, competitive",low,indoor,all,"[""balloons"", ""string or tape"", ""teams""]","['Create net with string across room.', 'Form teams of 2-3 players.', 'Play tournament bracket style.', 'Keep score and crown champions.']",6+,no
Nature Rock Stacking Zen,6,99,45,"outdoor, mindfulness, balance",free,outdoor,all,"[""rocks of various sizes""]","['Find flat smooth rocks.', 'Stack carefully balancing each.', 'Build tallest tower possible.', 'Practice patience and focus.']",1+,no
Paper Plate Dream Catcher,6,13,60,"craft, cultural, decorative",low,indoor,all,"[""paper plate"", ""yarn"", ""beads"", ""feathers"", ""scissors""]","['Cut center from paper plate.', 'Weave yarn across opening.', 'Add beads while weaving.', 'Attach feathers to bottom.']",1+,yes
DIY Photo Frame Decorated,7,14,90,"craft, gift, personalized",low,indoor,all,"[""cardboard"", ""decorations"", ""glue"", ""photo"", ""stand or string""]","['Cut cardboard into frame shape.', 'Decorate with buttons, shells, stickers.', 'Attach photo in center.', 'Add stand or hanging string.']",1+,yes
Backyard Camping Storytelling,6,99,60,"imaginative, literacy, social",free,outdoor,all,"[""flashlights"", ""blankets"", ""camping setup""]","['Gather around campfire or tent.', 'Take turns adding to group story.', 'Use flashlights for dramatic effect.', 'Create collaborative adventure tale.']",3+,yes
