title,age_min,age_max,duration_mins,tags,cost,indoor_outdoor,season,materials_needed,how_to_play,players,parent_caution
DIY Cardboard Laptop,4,9,30,"craft, imaginative, pretend",low,indoor,all,"[""cardboard"", ""markers"", ""stickers"", ""tape""]","['Fold cardboard to create laptop shape.', 'Draw keyboard on bottom half.', 'Decorate screen on top half.', 'Use for pretend office play.']",1+,no
Plant a Garden,10,99,90,"gardening, nature, learning",low,outdoor,"spring, summer","[""seeds or seedlings"", ""soil"", ""pots"", ""water""]","['Choose what to plant.', 'Prepare soil.', 'Plant seeds.', 'Water and care regularly.']",1+,no
Sailing,25,99,180,"outdoor, skill, adventure",high,outdoor,summer,"[""sailboat"", ""life jacket"", ""safety equipment""]","['Take sailing lessons to learn basics', 'Understand wind direction and sail trim', 'Navigate waterways under wind power', 'Join sailing club or rent boats']",1+,yes
Rock Collecting,5,99,60,"nature, collecting",free,outdoor,all,"[""bags"", ""field guide"", ""magnifying glass""]","['Search for interesting rocks.', 'Identify rock types.', 'Clean and display collection.', 'Learn about geology.']",1+,no
Board Game Marathon,10,99,90,"indoor, family, strategic",free,indoor,all,"[""various board games"", ""table"", ""snacks""]","['Set up selection of games on a table.', 'Play rounds of different games, switching after each game ends.', 'Invite friends and family for larger groups.', 'Keep score across games for a tournament style.']",2+,no
Indoor Dance Freeze Game,4,12,20,"game, music, active",free,indoor,all,"[""music player""]","['Play music for dancing.', 'Stop music randomly.', 'Everyone freezes immediately.', 'Anyone moving is out until next round.']",3+,no
Paper Plate Animals,3,7,30,"crafts, creative",low,indoor,all,"[""paper plates"", ""paint"", ""glue"", ""googly eyes""]","['Paint paper plates different colors.', 'Add ears, eyes, and features.', 'Create various animal faces.', 'Display animal creations.']",1+,no
Hiking Adventure,12,65,120,"outdoor, fitness, nature",free,outdoor,all,"[""hiking boots"", ""water"", ""snacks"", ""map""]","['Choose a trail appropriate for skill level.', 'Bring plenty of water and snacks.', 'Take breaks to enjoy views.', 'Practice Leave No Trace principles.']",2+,no
Play Doh Letters,3,5,25,"learning, creative",low,indoor,all,"[""playdough"", ""letter stamps"", ""rolling pin""]","['Roll out playdough flat.', 'Use stamps or fingers to form letters.', 'Practice spelling simple words.', 'Make alphabet in different colors.']",1+,no
Homemade Puzzles,5,11,45,"craft, problem-solving, creative",low,indoor,all,"[""cardboard"", ""magazines or printed pictures"", ""glue"", ""scissors""]","['Glue picture to cardboard and let dry.', 'Draw puzzle piece shapes on back.', 'Cut along lines to create puzzle.', 'Mix pieces and solve puzzle.']",1+,yes
Homemade Bubble Solution,5,99,30,"outdoor, science, summer",low,outdoor,summer,"[""dish soap"", ""water"", ""glycerin or corn syrup"", ""bubble wands""]","['Mix water with dish soap.', 'Add glycerin for stronger bubbles.', 'Let solution sit if possible.', 'Blow bubbles and experiment with wands.']",1+,no
Terrarium Building,8,99,60,"gardening, crafts",medium,indoor,all,"[""glass container"", ""soil"", ""small plants"", ""decorations""]","['Layer gravel and soil in container.', 'Plant small plants.', 'Add moss and decorations.', 'Mist lightly with water.']",1+,no
Go to Baseball or Soccer Game,10,99,120,"sports, entertainment",medium,outdoor,"spring, summer, fall","[""admission ticket""]","['Check game schedule.', 'Purchase tickets.', 'Attend live game.', 'Cheer for team.']",1+,no
Learn Instrument,10,99,45,"music, skill, creative",low,indoor,all,"[""instrument"", ""lessons or online resources""]","['Choose instrument.', 'Learn basics carefully.', 'Practice regularly daily.', 'Play favorite songs.']",1+,no
Canoeing,8,70,90,"water sport, outdoor",medium,outdoor,all,"[""canoe"", ""paddles"", ""life vests""]","['Learn J-stroke and other techniques.', 'Practice steering and turning.', 'Take multi-day trips.', 'Portage around obstacles.']",2+,yes
Quilting,40,99,120,"creative, tactile, productive",medium,indoor,all,"[""fabric"", ""sewing machine"", ""quilting supplies""]","['Choose quilt pattern and fabrics', 'Cut and piece fabric squares together', 'Layer and quilt through all layers', 'Create functional art for home or gifts']",1+,yes
Paper Towel Roll Castles,5,12,90,"craft, imaginative, building",low,indoor,all,"[""toilet paper rolls"", ""paper"", ""tape"", ""markers""]","['Connect rolls with tape as towers.', 'Cut paper as flags and roofs.', 'Decorate with markers.', 'Create castle complex.']",1+,no
Community Service Day,13,19,180,"volunteer, social, outdoor",free,both,all,"[""work gloves"", ""trash bags"", ""comfortable clothes""]","['Find local volunteer opportunities like park cleanup or food banks.', 'Organize a group of friends to volunteer together.', 'Spend a few hours helping your community.', 'Reflect on the experience and plan future service.']",2+,no
Create Digital Playlist Art,12,19,60,"creative, music, digital",free,indoor,all,"[""computer"", ""music app""]","['Create themed playlist.', 'Design album cover.', 'Add descriptions.', 'Share on social media.']",1+,no
Meal Planning Session,15,99,60,"organization, cooking",free,indoor,all,"[""recipes"", ""calendar"", ""grocery list""]","['Plan meals for the week.', 'Create shopping list.', 'Consider nutritional balance.', 'Prep ingredients ahead.']",1+,no
Runway Ready,3,8,20,dramatic play,free,indoor,all,[],"['Lay out a runway using a carpet, mat, or tape on the floor.', 'Invite children to dress up in costumes or mixâandâmatch outfits from a dressâup box.', 'Have them walk the runway with confidence while others cheer and snap pretend photos.', 'Encourage fun poses at the end and swap outfits for multiple fashion shows.']",1+,no
Hiking,18,99,120,"outdoor, fitness, nature",free,outdoor,all,"[""hiking boots"", ""water bottle"", ""trail map""]","['Choose trails appropriate for fitness level', 'Wear proper footwear and bring water', 'Hike at steady pace enjoying scenery', 'Join hiking groups for companionship']",1+,no
DIY Weather Station,8,15,120,"science, educational, outdoor",medium,outdoor,all,"[""thermometer"", ""rain gauge"", ""wind sock"", ""barometer"", ""notebook""]","['Set up weather instruments outside.', 'Record daily measurements.', 'Track weather patterns over time.', 'Create weather predictions.']",1+,no
Play at Arcade,12,19,90,"gaming, fun, entertainment",low,indoor,all,"[""arcade coins or cards"", ""comfortable shoes""]","['Visit local arcade.', 'Choose favorite games.', 'Play and compete.', 'Win arcade tickets.']",1+,no
Host Cupcake Decorating Challenge,12,99,60,"culinary, competitive",low,indoor,all,"[""cupcakes"", ""frosting"", ""decorations""]","['Prepare plain cupcakes in advance.', 'Set out frosting and toppings.', 'Give time limit for decorating.', 'Judge and award prizes.']",2+,no
Replace Light Bulbs,13,18,10,chore,low,indoor,all,[],"['Turn off the power to the light fixture or ensure the switch is off before beginning.', 'Use a step stool or ladder to reach the bulb safely and choose the correct wattage replacement.', 'Unscrew the burntâout bulb and screw in the new one without overâtightening.', 'Dispose of old bulbs properly, especially CFLs or other specialised types.']",1+,no
Make Homemade Pizza Rolls,12,99,60,"culinary, creative, snack",low,indoor,all,"[""pizza dough"", ""cheese"", ""fillings""]","['Get pizza dough.', 'Add cheese and fillings.', 'Roll and seal.', 'Bake until golden.']",1+,yes
Homemade Trail Mix Custom,6,99,30,"culinary, healthy, customizable",low,indoor,all,"[""variety of nuts"", ""dried fruits"", ""cereals"", ""chocolate""]","['Set out bowls of different ingredients.', 'Mix personal favorite combinations.', 'Package in bags or containers.', 'Take on hikes or outings.']",2+,yes
Create Life Bucket List,12,99,60,"planning, personal, goal",free,indoor,all,"[""paper or digital document""]","['Think about dreams.', 'Write 100 items.', 'Prioritize list.', 'Plan achievements.']",1+,no
