title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,generated_at,generation_batch
Coding with Block Programming,Learn basic programming concepts using visual block-based coding platforms,7,10,"technology, coding, logic",free,indoor,all,1,54,generated_new_data,2025-11-20T16:27:17.456437,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,127,generated_new_data,2025-11-20T16:27:17.456468,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,44,generated_new_data,2025-11-20T16:27:17.456435,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,130,generated_new_data,2025-11-20T16:27:17.456476,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,56,generated_new_data,2025-11-20T16:27:17.456430,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,116,generated_new_data,2025-11-20T16:27:17.456462,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,47,generated_new_data,2025-11-20T16:27:17.456404,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,40,generated_new_data,2025-11-20T16:27:17.456418,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,13,generated_new_data,2025-11-20T16:27:17.456381,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,59,generated_new_data,2025-11-20T16:27:17.456433,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,20,generated_new_data,2025-11-20T16:27:17.456391,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,30,generated_new_data,2025-11-20T16:27:17.456378,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,17,generated_new_data,2025-11-20T16:27:17.456386,evaluation_batch_001
Photography Walk,Explore photography basics while taking nature and urban photos,11,17,"art, creativity, outdoor, technology",medium,outdoor,spring,1-5,94,generated_new_data,2025-11-20T16:27:17.456466,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,40,generated_new_data,2025-11-20T16:27:17.456452,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,25,generated_new_data,2025-11-20T16:27:17.456406,evaluation_batch_001
